,host_listings_count,host_total_listings_count,accommodates,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,instant_bookable_t,bedrooms,bathroom_type_shared,bathrooms,host_acceptance_rate,host_response_rate,distance_from_city_center_km,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
2,4,4,4,2.0,3328.0,3,700,3.0,3.0,1125.0,1125.0,3.0,1125.0,5,35,47,47,343,57,5,4.94,4.95,4.93,4.93,4.95,4.93,4.89,3,3,0,0,3.28,1,1,1,0,1.0,0,1.5,1.0,1.0,1.3801574757339499,1,0,0,0
4,1,5,3,2.0,3766.0,7,365,7.0,7.0,365.0,365.0,7.0,365.0,27,57,87,362,333,1,0,4.76,4.84,4.79,4.84,4.84,4.9,4.79,1,1,0,0,2.05,0,1,1,0,1.0,0,1.0,0.33,1.0,1.8990914345636123,1,0,0,0
9,2,3,2,1.0,2063.0,3,30,1.0,3.0,1125.0,1125.0,2.6,1125.0,19,42,72,340,34,9,0,4.74,4.85,4.79,4.82,4.94,4.88,4.82,2,2,0,0,0.38,1,1,1,0,1.0,0,1.0,1.0,1.0,1.8996588534805774,1,0,0,0
10,1,2,3,2.0,1002.0,2,21,2.0,2.0,1125.0,1125.0,2.0,1125.0,5,5,5,145,163,7,0,4.53,4.67,4.14,4.78,4.83,4.72,4.53,1,1,0,0,1.07,0,1,1,1,1.0,0,1.5,0.91,1.0,0.6445469356389184,1,0,0,0
15,14,32,4,4.0,3058.0,3,365,1.0,7.0,365.0,365.0,3.0,365.0,0,0,0,0,211,26,1,4.53,4.69,4.64,4.51,4.66,4.91,4.59,14,14,0,0,1.38,1,1,1,0,1.0,0,1.0,0.95,1.0,1.9832261959485178,1,0,0,0
16,14,32,5,3.0,3093.0,3,365,1.0,7.0,365.0,365.0,3.1,365.0,14,41,50,50,239,24,2,4.57,4.74,4.58,4.66,4.72,4.94,4.59,14,14,0,0,1.7,1,1,1,0,1.0,0,1.0,0.95,1.0,1.9832261959485178,1,0,0,0
17,14,32,5,3.0,3653.0,3,365,1.0,7.0,365.0,365.0,3.0,365.0,0,0,0,0,380,56,3,4.64,4.75,4.69,4.69,4.8,4.95,4.67,14,14,0,0,2.46,1,1,1,0,1.0,0,1.0,0.95,1.0,1.9008048822245316,1,0,0,0
19,16,22,1,1.0,667.0,30,365,30.0,120.0,365.0,365.0,63.5,365.0,0,26,56,98,61,1,0,4.86,4.78,4.9,4.81,4.9,4.81,4.86,15,11,4,0,0.41,1,1,1,1,1.0,1,1.5,1.0,1.0,2.939611482541158,0,0,1,0
21,2,2,3,2.0,3981.0,20,1125,20.0,20.0,1125.0,1125.0,20.0,1125.0,13,29,29,176,170,4,0,4.79,4.82,4.89,4.92,4.86,4.88,4.69,2,2,0,0,1.13,0,1,1,1,2.0,0,1.0,1.0,1.0,1.9453418892620358,1,0,0,0
24,3,7,4,2.0,2057.0,1,365,1.0,2.0,1125.0,1125.0,1.3,1125.0,7,34,64,286,313,22,5,4.7,4.84,4.7,4.78,4.87,4.51,4.67,2,2,0,0,2.15,1,1,1,1,1.0,0,1.0,0.99,1.0,2.731872172365911,1,0,0,0
