,price,accommodates,review_scores_location,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,instant_bookable_t,bathroom_type_shared,bathrooms,host_response_rate,distance_from_city_center_km
2,3328.0,4,4.93,1,1,1,0,0,1.5,1.0,1.3801574757339499
4,3766.0,3,4.9,0,1,1,0,0,1.0,1.0,1.8990914345636123
9,2063.0,2,4.88,1,1,1,0,0,1.0,1.0,1.8996588534805774
10,1002.0,3,4.72,0,1,1,1,0,1.5,1.0,0.6445469356389184
15,3058.0,4,4.91,1,1,1,0,0,1.0,1.0,1.9832261959485178
16,3093.0,5,4.94,1,1,1,0,0,1.0,1.0,1.9832261959485178
17,3653.0,5,4.95,1,1,1,0,0,1.0,1.0,1.9008048822245316
19,667.0,1,4.81,1,1,1,1,1,1.5,1.0,2.939611482541158
21,3981.0,3,4.88,0,1,1,1,0,1.0,1.0,1.9453418892620358
24,2057.0,4,4.51,1,1,1,1,0,1.0,1.0,2.731872172365911
25,2599.0,7,4.77,1,1,1,0,0,1.0,1.0,1.2147109946359356
26,4659.0,4,4.86,0,1,1,0,0,1.0,1.0,4.080245322987307
27,2708.0,4,4.87,1,1,1,0,0,1.0,0.95,1.8851559525413648
28,5671.0,8,4.99,1,1,1,0,0,1.0,1.0,1.762341071685377
29,1226.0,2,4.9,0,1,1,0,0,1.0,0.68,2.1019452959109377
30,1177.0,3,4.8,0,1,1,0,0,1.0,0.68,1.018490334085726
31,1765.0,5,4.73,0,1,1,0,0,1.0,0.68,0.8623504969943298
32,3163.0,4,4.89,1,1,1,0,0,1.0,1.0,2.003021866389782
33,1832.0,3,4.94,1,1,1,0,0,1.0,1.0,0.7070339688858724
34,2243.0,4,4.64,0,1,1,1,0,1.0,1.0,1.5241240830114606
36,4193.0,5,4.78,0,1,1,1,0,1.0,1.0,1.8697444300205308
37,5793.0,8,4.91,0,1,1,1,0,2.0,1.0,1.8697444300205308
38,2183.0,2,4.73,0,1,1,1,0,1.0,1.0,1.8697444300205308
43,3871.0,7,4.83,0,1,1,1,0,1.0,1.0,1.7004810663795225
46,3573.0,6,4.94,1,1,1,0,0,1.0,1.0,2.3457961544477652
47,2242.0,3,4.86,1,1,1,0,0,1.0,1.0,1.3125474649477824
48,1471.0,2,4.55,0,1,1,0,0,1.0,0.68,1.4049124450610364
49,2335.0,2,4.94,0,1,1,1,0,1.0,1.0,2.6883508120024198
51,2547.0,6,4.68,0,1,1,1,0,1.0,1.0,1.2825859270640119
52,1622.0,4,4.97,1,1,1,0,0,1.0,1.0,2.0478459841208085
57,3240.0,4,4.9,1,1,1,1,0,1.0,1.0,0.8342938668133829
59,1944.0,4,4.69,0,1,1,1,0,1.0,1.0,0.5510858385002729
60,1762.0,4,4.65,0,1,1,1,0,1.0,1.0,0.5792552844854835
62,3914.0,5,4.44,1,1,1,1,0,1.0,1.0,7.186112989445965
64,2946.0,7,4.9,0,1,1,1,0,1.0,1.0,1.7033590682071544
65,1573.0,2,4.92,1,1,1,0,0,1.0,1.0,0.7164203676940197
68,1594.0,3,4.98,1,1,1,0,0,1.0,1.0,3.142838290259995
70,3689.0,9,4.89,0,1,1,1,0,2.0,1.0,2.019903272809961
71,1000.0,2,4.83,1,1,1,0,1,1.5,1.0,2.04973049508521
72,2091.0,2,4.71,1,1,1,0,0,1.0,1.0,1.581825440824637
77,650.0,2,4.74,0,1,1,0,1,1.0,0.0,0.3439221860408877
84,851.0,2,4.89,1,1,1,1,0,1.5,1.0,2.7307771090880615
85,1540.0,2,4.72,1,1,1,0,0,1.0,1.0,1.2769272397086815
93,2172.0,2,4.89,1,1,1,1,0,1.0,1.0,3.398492066412903
100,1184.0,3,4.77,1,1,1,0,0,1.0,1.0,0.2843964589899174
101,1631.0,2,5.0,1,1,1,0,0,1.0,1.0,2.726766577606657
103,1751.0,2,4.86,1,1,1,1,0,1.0,1.0,3.4069139527726295
110,2942.0,4,4.65,0,1,1,1,0,1.0,1.0,2.1502061420757057
111,4659.0,5,4.82,1,1,1,1,0,1.0,1.0,2.3455416529803346
113,4872.0,4,4.98,1,1,1,1,0,1.0,1.0,2.046908733661303
114,2697.0,4,4.89,1,1,1,1,0,1.0,1.0,0.5421157283410161
115,2043.0,3,4.79,1,1,1,1,0,1.0,1.0,5.145973394593257
117,2277.0,4,4.54,0,1,1,1,0,1.5,1.0,2.755178039707602
118,4904.0,4,4.96,0,1,1,0,0,1.0,1.0,1.656200098981263
119,3505.0,4,4.95,1,1,1,0,0,1.0,1.0,1.906473536976968
124,1979.0,4,4.93,1,1,1,0,0,1.0,0.33,3.0811103914543345
127,2356.0,2,4.76,0,1,1,1,1,1.5,1.0,0.956133245360229
128,2280.0,2,4.77,0,1,1,1,0,1.0,1.0,1.1859735262343862
134,606.0,2,4.61,1,1,1,0,0,1.0,1.0,1.3938279796552084
135,627.0,2,4.56,1,1,1,0,0,1.0,1.0,1.2047397758755791
136,598.0,2,4.66,1,1,1,0,0,1.0,1.0,1.2436020660999922
137,3924.0,4,4.88,1,1,1,1,0,1.5,1.0,1.3609358636675017
138,2575.0,2,5.0,1,1,1,1,0,1.0,1.0,1.7652209842318998
139,4879.0,6,4.98,0,1,1,0,0,1.0,1.0,1.6587850680510614
140,5090.0,6,4.79,0,1,1,0,0,1.0,1.0,1.6587850680510614
141,6841.0,8,4.93,0,1,1,0,0,2.0,1.0,1.6587850680510614
143,2032.0,3,4.61,0,1,1,0,0,1.0,1.0,1.2086706531318443
144,886.0,3,4.9,0,1,1,1,1,1.0,0.99,1.8360886831280456
145,897.0,3,4.85,0,1,1,1,1,1.0,0.99,1.8281769040806484
146,5745.0,6,4.98,1,1,1,0,0,1.5,0.9,2.4738043928299844
147,2750.0,9,4.83,0,1,1,1,0,1.0,1.0,1.6874461821868723
148,3545.0,4,4.84,0,1,1,1,0,1.0,1.0,1.8435310641709268
149,3545.0,4,4.8,0,1,1,1,0,1.0,1.0,1.8435310641709268
150,2942.0,6,4.95,1,1,1,1,0,1.5,1.0,1.4430805139729432
152,2918.0,4,4.91,0,1,1,1,0,1.0,1.0,1.8151713295028606
153,1594.0,2,4.95,1,1,1,1,0,1.0,1.0,3.139340308710612
154,2029.0,3,4.72,0,1,1,0,0,1.0,1.0,2.807340896849242
155,2486.0,5,4.76,0,1,1,0,0,1.5,1.0,2.662734614640121
158,1594.0,2,4.57,0,1,1,0,0,1.0,1.0,1.0202735613529317
159,1454.0,5,4.61,0,1,0,0,0,1.0,1.0,1.6065673475689577
164,1541.0,2,4.71,0,1,1,0,0,1.0,1.0,2.067658830178121
165,2364.0,3,4.66,1,1,1,0,0,1.0,1.0,0.6344745305134484
166,1976.0,2,4.92,1,1,1,0,0,1.5,1.0,1.9711597221235275
167,1751.0,4,4.78,1,1,1,0,0,1.0,1.0,3.1222861195967173
170,1061.0,3,4.91,0,1,1,1,0,1.0,0.99,1.9030556354782673
173,1349.0,4,4.53,0,1,1,0,0,1.5,1.0,1.2856613524610154
174,2977.0,4,4.75,1,1,1,0,0,1.0,1.0,2.964209147592062
175,1888.0,3,4.87,0,1,1,0,0,1.5,1.0,1.2891062668951614
176,2441.0,5,4.94,0,1,1,0,0,1.0,1.0,3.2428814559807377
178,5143.0,8,4.58,0,1,1,0,0,1.0,1.0,1.3051405188889051
179,2500.0,3,4.5,0,1,1,1,1,1.5,1.0,5.841315770470939
180,900.0,2,4.65,0,1,1,1,0,1.0,1.0,3.3672266828189956
182,6235.0,8,4.79,1,1,1,0,0,2.0,1.0,1.0591546663419293
183,5930.0,9,4.98,0,1,1,0,0,2.0,1.0,1.9336566147962704
184,3163.0,3,4.65,1,1,1,0,0,1.5,1.0,3.3976495310845887
185,932.0,4,4.8,0,1,1,0,0,1.0,0.0,2.6806638003138237
186,3969.0,4,4.88,0,1,1,0,0,1.5,0.63,1.3496350779342838
187,881.0,4,4.57,0,1,1,0,0,1.0,1.0,6.714219985818916
188,3233.0,4,4.97,0,1,1,0,0,1.5,1.0,1.9336566147962704
189,5086.0,4,4.98,1,1,1,0,0,1.0,1.0,1.8513786435115862
192,2802.0,4,4.95,0,1,1,0,0,1.0,1.0,3.062668533458796
193,5844.0,4,5.0,0,1,1,1,0,1.0,1.0,0.34480468722053875
198,2414.0,3,4.87,0,1,1,1,0,1.0,1.0,0.4125508594720306
199,2000.0,2,4.75,1,1,1,1,0,1.0,1.0,3.2838776426849066
200,2427.0,5,4.83,1,1,1,0,0,1.0,1.0,0.9690904520322396
201,2154.0,4,4.97,1,1,1,0,0,1.0,1.0,2.2709067278223216
202,3357.0,3,4.69,1,1,1,1,0,1.0,1.0,3.28577345532235
204,805.0,1,4.63,1,1,1,1,0,1.5,1.0,2.7436897104429243
206,1829.0,5,4.9,0,1,1,0,0,2.0,1.0,1.2104828730124335
207,3448.0,5,4.92,1,1,1,0,0,1.0,1.0,1.7490777540010847
209,1496.0,2,4.82,1,1,1,1,0,1.5,1.0,0.9278851907592922
211,880.0,3,4.82,0,1,1,0,0,1.5,1.0,1.7478660032077333
212,1500.0,3,4.6,0,1,1,0,0,1.0,1.0,3.5306485939692673
213,1762.0,3,4.74,1,1,1,0,0,1.0,1.0,3.3785993783805663
214,1850.0,3,4.8,1,1,1,0,0,1.5,1.0,1.1358134436399872
215,897.0,3,4.92,0,1,1,1,1,1.5,0.99,1.6882441788437208
216,1533.0,4,4.6,1,1,1,0,0,1.0,1.0,1.2930164308668033
217,3840.0,8,4.88,0,1,1,1,0,1.0,0.9,1.836794580612809
220,650.0,2,4.79,0,1,1,0,1,1.0,0.0,0.3554090754803663
